,111,115,261,266,311,312,315,321,322,324,325,331,334,335,336,341,351,352,356,361,364,365,366,422,431,441,451,452,461,525,531,532,533,535,536,541,542,546,631,632,636,646
Time1,0,0.012472768,0.007587255,0,0.035610399,0.301909636,0.006154769,0.033946752,0.014759708,0.024328798,0.021267813,0.045244468,0,0,0.107524763,0.00385388,0.060846658,0.003469368,1,0.085429001,0,0,0,0.061282948,0,0.027161622,0.064489493,0,0.017629638,0.083906496,0.012006081,0.02206363,0.028410262,0,0,0,0.238344908,1,0.049185739,0,0,0.257282159
Time2,0.078893514,0.011803587,0.009636276,0,0.023688358,0.206514543,0.006563535,0.089277432,0.02132596,0.014157256,0.012569264,0.035407516,0,0,0.165391842,0.0024216,0.052032991,0.003291943,0,0.087213731,0.404378808,0.005080497,0,0.061664286,0,0.024625811,0.050496661,0,0.01951638,0.117276821,0.013794037,0.033914695,0.021741025,0,0,0,0.125322453,0,0.057463802,0,0.002533786,0.09594459
Time3,0.018281928,0.006013062,0.011065074,0,0.035399047,0.202998267,0.002771536,0.087645784,0.033824675,0.018740615,0.017297255,0.040783955,0,0,0.087302454,0.026391591,0.049026986,0.010658162,0,0.088422727,0.2182062,0.005886995,0,0.044366962,0,0.028396109,0.048131943,0,0.023655756,0.082107223,0.01523298,0.03482295,0.021020707,0,0,0,0.133974132,0,0.060336039,0,0.002950987,0.058430264
Time4,0.13441701,0.017011783,0.009640723,0,0.044205269,0.149847756,0.01021422,0.170202794,0.047482994,0.019463454,0.018768859,0.031921141,0,0,0.058297938,0.016565876,0.05721916,0.012337239,0,0.071979046,0.377414992,0,0,0.055242695,0.015423358,0.037669688,0.007254716,0,0.03098693,0.141614791,0.013006922,0.028420251,0.023576047,0,0,0,0,0,0.037074259,0,0.002446311,0.348484083
Time5,0.07906115,0.017368124,0.001069545,0,0.04751407,0.082646741,0.012685783,0.258583664,0.066326344,0.013949142,0.019655581,0.037549858,0,0,0.01237037,0.011195012,0.063732631,0,0,0.067372214,0,0.011594058,0,0.064228356,0,0.036713581,0.016051353,0,0.024877478,0.12018837,0.01436912,0.023848735,0.04569876,0,0,0,0,0,0.033251846,0,0.00280099,0.239858904
Time6,0,0.036619199,0.003639879,0,0.030134722,0,0.060816456,0.205810707,0.106145318,0.035722762,0.034463034,0.059230844,0,0,0,0,0.062960716,0,0,0.022442604,0,0,0,0,0,0.105052985,0,0,0.054153498,0.178407802,0.041467454,0.053617774,0.05869418,0,0,0,0,0,0.009363297,0,0.013544408,0
Time7,0,0.077136783,0,0,0,0,0.068556783,0.020376122,0.037624186,0.017006059,0.040531074,0.052902586,0,0,0,0.017384867,0.05810477,0,0,0.008777016,0,0,0,0,0,0.080118912,0,0,0.030274454,0.097345541,0.036002037,0.026535832,0.048559776,0,0,0,0,0,0.030857872,0,0,0
Time8,0,0.084698258,0.00447043,0,0.022754335,0,0.111219773,0.004463704,0.007443214,0.024615841,0.033426389,0.033512109,0,0,0.134626131,0.008620507,0.039431733,0,0,0.008527936,0,0,0,0.037783133,0,0.032814977,0,0,0.03581882,0.12616766,0.023454769,0.036993903,0.020779268,0,0,0,0,0,0.004737768,0,0.030406547,0
Time9,0.045956676,0.069994299,0.00621468,0,0,0,0.044909035,0.015229109,0.046653125,0.032676809,0,0.041986553,0,0,0.147929133,0.034631181,0.060769861,0,0,0.012568007,0,0,0,0,0,0.0669311,0,0,0.051911175,0,0.040757057,0.073668819,0.04385086,0,0,0,0,0,0.037189129,0,0.028343693,0
