"","time","msimpson","mraoQ","mfred","mfric","mfeve","mfspe","mfdis","mfdiv","mfori","mTaxRich","sd.simpson","sd.raoQ","sd.fred","sd.fric","sd.feve","sd.fspe","sd.fdis","sd.fdiv","sd.fori","sd.TaxRich","n.fric","se.simpson","se.raoQ","se.fred","se.fric","se.feve","se.fspe","se.fdis","se.fdiv","se.fori","se.TaxRich","lower.ci.simpson","upper.ci.simpson","lower.ci.raoQ","upper.ci.raoQ","lower.ci.fred","upper.ci.fred","lower.ci.fric","upper.ci.fric","lower.ci.feve","upper.ci.feve","lower.ci.fspe","upper.ci.fspe","lower.ci.fdis","upper.ci.fdis","lower.ci.fdiv","upper.ci.fdiv","lower.ci.fori","upper.ci.fori","lower.ci.TaxRich","upper.ci.TaxRich"
"1","-1",0.968677119635231,0.69652476382239,0.272152355812841,0.827249420381786,0.692485,0.48966877311029,0.585888273178675,0.765060595858617,0.381816422843873,134,0.0154586955390572,0.0102462543696756,0.00658556483814181,0.0305573711657679,0.00930872644350451,0.0101187685384633,0.0101941447569458,0.0292671053094242,0.0704844295142813,6.2449979983984,3,0.00892508203079515,0.00591567771851757,0.00380217763206691,0.0176423064682834,0.00537439571796991,0.0058420737395493,0.00588559221958068,0.0168973711287972,0.0406942043537475,3.60555127546399,0.930275591072192,1.00707864819827,0.671071656938492,0.721977870706288,0.255792905845236,0.288511805780446,0.75134070229695,0.903158138466622,0.669360841593323,0.715609158406677,0.46453235858742,0.514805187633159,0.560564613748904,0.611211932608446,0.692357075845708,0.837764115871526,0.206723393396239,0.556909452291507,118.486564962373,149.513435037627
"2","-2",0.978740446755963,0.708171268494072,0.270569178261891,0.782189933553539,0.648836333333333,0.512282502181301,0.612319436240883,0.782526139370089,0.379719781795936,130.666666666667,0.00489257761288537,0.00730546952975587,0.00356468580357222,0.0300293219265042,0.0306771911089221,0.0152332936795401,0.0139667709779107,0.0119999295661031,0.0176139297988524,4.50924975282289,3,0.0028247310018305,0.00421781479956116,0.00205807230826886,0.0173374370978491,0.0177114845447178,0.00879494620652708,0.0080637189838066,0.00692816256524617,0.0101694071108546,2.60341655863555,0.966586610200129,0.990894283311797,0.690023476133163,0.726319060854982,0.261714007826696,0.279424348697085,0.707592962497619,0.856786904609459,0.572629966009088,0.725042700657579,0.474440902877787,0.550124101484814,0.577624053743275,0.647014818738491,0.752716661796585,0.812335616943594,0.335964354530484,0.423475209061388,119.465069303978,141.868264029355
"3","-3",0.957811184675726,0.683206898930674,0.274604285745053,0.735482473447409,0.681307,0.491043859544256,0.57800137333283,0.789153178318923,0.382552052554116,129,0.0142493900773393,0.0206439431188508,0.00652409844052459,0.0573746967136191,0.0156108176915881,0.0182193441502263,0.0182985071842557,0.0300225825802242,0.0202909459556571,3.60555127546399,3,0.00822688919693983,0.0119187861168039,0.00376668999085649,0.0331252965922811,0.00901290979650855,0.0105189432495916,0.0105646480485983,0.0173335461344602,0.0117149831096108,2.08166599946613,0.922413737415167,0.993208631936286,0.631924501309908,0.73448929655144,0.258397526773774,0.290811044716331,0.59295582564087,0.878009121253948,0.642527579061067,0.720086420938933,0.445784499657321,0.536303219431191,0.532545361567686,0.623457385097974,0.71457294872725,0.863733407910597,0.33214654849858,0.432957556609652,120.04331410497,137.95668589503
"4","-4",0.975675682490285,0.711424379296196,0.264251303194089,0.810513904161787,0.689965,0.50337798083203,0.603316900384221,0.792516447535145,0.414036160203729,137,0.00637318132648323,0.00286356584697637,0.00479212361998385,0.0325419992103806,0.0110442810087393,0.0233128137558533,0.0279416670007916,0.0236431434349959,0.0314030968164396,14.9331845230681,3,0.00367955795443939,0.00165328051259402,0.00276673386198764,0.0187881320040818,0.00637641861340151,0.0134596592975095,0.0161321289645139,0.0136503752266838,0.0181305864003593,8.62167810425171,0.959843822413345,0.991507542567225,0.704310887385641,0.71853787120675,0.252347008190318,0.276155598197861,0.729675096707531,0.891352711616043,0.662529485047023,0.717400514952977,0.445465741014103,0.561290220649957,0.533905951658385,0.672727849110057,0.733783623303949,0.85124927176634,0.336026543136265,0.492045777271193,99.9039131697202,174.09608683028
"5","-5",0.974834140099933,0.710206274871774,0.264627865228159,0.827942816983792,0.694216333333333,0.499741897019061,0.598408039333995,0.775434932638155,0.39538200808328,135,0.0033216070061751,0.0141744470648651,0.0165655911516914,0.0361818107628146,0.0276984944055328,0.0322206399505777,0.0393332312191494,0.0350633110217,0.0215117766930944,2,3,0.00191773069915734,0.00818362082851399,0.00956414851071429,0.0208895781836791,0.0159917332011817,0.018602595148928,0.0227090516324737,0.0202438120570581,0.0124198300645052,1.15470053837925,0.966582810872279,0.983085469327587,0.674994996374734,0.745417553368814,0.223476655530805,0.305779074925513,0.738062216388471,0.917823417579114,0.625409458821844,0.763023207844823,0.419701390221102,0.57978240381702,0.500698876337511,0.69611720233048,0.688332839430319,0.862537025845991,0.341943792353212,0.448820223813347,130.031724576499,139.968275423501
"6","-6",0.974693634154942,0.699945789541147,0.274747844613795,0.789286731913244,0.663811,0.498042388572787,0.600068467368217,0.782538786608072,0.402082454170497,135,0.0027567481651802,0.0141895933661348,0.0129684176939865,0.0316530072693038,0.0197436881812897,0.0120152854962388,0.0179024310937042,0.0410345080717659,0.0185965087512705,6.557438524302,3,0.00159160929525479,0.00819236554962928,0.00748731944658662,0.0182748722675938,0.0113990236862637,0.00693702831564365,0.0103359734110989,0.0236912842812979,0.0107366993335333,3.78593889720018,0.96784549207602,0.981541776233865,0.664696885545929,0.735194693536365,0.242532509158433,0.306963180069157,0.710656302865259,0.867917160961229,0.614764959619819,0.712857040380181,0.468194764754134,0.527890012391441,0.555596363156335,0.6445405715801,0.680603417623875,0.884474155592269,0.355886165474571,0.448278742866423,118.710419669297,151.289580330703
"7","-7",0.980104746947292,0.707143105000137,0.272961641947155,0.787628431158678,0.686077666666667,0.497603243185916,0.59720436184246,0.755910233664679,0.391283626254163,128.666666666667,0.00290578593426536,0.0152503211746367,0.018134868421104,0.0544011902031876,0.0195380136486116,0.0126312031151779,0.0151722049091954,0.0166987715886395,0.0388086095085875,8.50490054811538,3,0.00167765629135553,0.00880477703540476,0.0104701711646428,0.0314085418080464,0.0112802774394565,0.00729262851873681,0.00875967658852413,0.00964104027183709,0.0224061611466581,4.91030662088541,0.97288637452571,0.987323119368874,0.669259207053917,0.745027002946356,0.227912131404661,0.31801115248965,0.652488383010837,0.922768479306519,0.637542550149458,0.734612783183875,0.466225595182724,0.528980891189108,0.559514515457124,0.634894208227796,0.714428185421434,0.797392281907923,0.294877695833288,0.487689556675037,107.539322480407,149.794010852926
"8","0",0.978848032451131,0.705261337813575,0.273586694637556,0.785841158833388,0.648975666666667,0.501282705297819,0.601816283735568,0.771522283280955,0.373724752147454,138,0.00111187851539225,0.0211703339448609,0.0218447202491523,0.0527186135555805,0.00536502230501736,0.0307591301478745,0.0384737533030437,0.0326952067479894,0.00585716025497078,3,3,0.000641943360167875,0.0122226980018997,0.0126120551162202,0.0304371057276182,0.00309749707201012,0.0177587920709141,0.0222128318262475,0.0188765864171621,0.00338163304989415,1.73205080756888,0.97608597310016,0.981610091802102,0.652671312890798,0.757851362736352,0.219321401264,0.327851988011111,0.654880862788778,0.916801454877997,0.635648212434391,0.662303120898942,0.424872790116847,0.577692620478791,0.506242182242898,0.697390385228238,0.690302887204801,0.852741679357109,0.359174759474316,0.388274744820592,130.547586864749,145.452413135251
"9","1",0.976708435544699,0.708145817136338,0.268562618408361,0.799352262277479,0.665984666666667,0.493468501846361,0.594805865724828,0.759290756750154,0.391214357510971,129.666666666667,0.00772759564209191,0.00646287478489409,0.00704190447524815,0.0390000660205278,0.0497739812184372,0.0117739058467273,0.0151976866885461,0.0210439848240386,0.0164410467067016,7.63762615825973,3,0.00446152942415034,0.00373134249679745,0.00406564544439215,0.0225166986153649,0.0287370214551041,0.00679766771002131,0.00877438850069165,0.0121497503029811,0.00949224274187338,4.40958551844098,0.957512023789021,0.995904847300377,0.692091146156862,0.724200488115814,0.251069557938853,0.286055678877868,0.702470727515133,0.896233797039824,0.542339242857994,0.789630090475339,0.464220498317908,0.522716505374814,0.557052719090445,0.632559012359211,0.707014600443258,0.81156691305705,0.350372533366205,0.432056181655737,110.693751498683,148.63958183465
"10","10",0.964969300910622,0.69482171528881,0.270147585621812,0.759270436286459,0.679282,0.496928589013387,0.59385650690681,0.784333655120735,0.37116158766003,129.333333333333,0.0152985092912175,0.0145851608640272,0.0206508740542978,0.103045012390095,0.00449796531778539,0.0342774795884332,0.0378150255867674,0.0313672852294152,0.0211668893741892,4.50924975282289,3,0.0088325984574844,0.00842074655102009,0.0119227876942499,0.0594930656420696,0.00259690148702899,0.0197901120675238,0.0218325152019328,0.0181099105709507,0.0122207092780952,2.60341655863555,0.926965697046746,1.0029729047745,0.658590167154535,0.731053263423085,0.218847970602924,0.321447200640699,0.503292435000445,1.01524843757247,0.668108434727944,0.690455565272056,0.411778609304008,0.582078568722766,0.499918775775917,0.687794238037702,0.706412998967115,0.862254311274354,0.318580119525159,0.423743055794901,118.131735970645,140.534930696022
"11","11",0.979922535501738,0.709587348595466,0.270335186906272,0.735831057034983,0.657402,0.499474295136209,0.598317331713089,0.766481801637373,0.380411406826321,135,0.00124566129332966,0.0071189828076435,0.00596173476396724,0.0778958070281303,0.0104747873009431,0.0213347004016714,0.0267804774926598,0.0412340484281679,0.026419038431866,11.3578166916005,3,0.000719182883022978,0.00411014664034929,0.00344200917081364,0.0449731651564342,0.0060476212679036,0.012317595019985,0.0154617158894138,0.0238064889597808,0.0152530389503689,6.557438524302,0.97682814130691,0.983016929696566,0.691902814933697,0.727271882257236,0.255525416751648,0.285144957060896,0.542327145209178,0.929334968860788,0.631381185843164,0.683422814156836,0.446475961299522,0.552472628972895,0.531790937634891,0.664843725791286,0.664050746928822,0.868912856345924,0.314782877149541,0.4460399365031,106.785619233248,163.214380766752
"12","12",0.965200387196364,0.700351975085174,0.26484841211119,0.804388725841202,0.661371333333333,0.508667101110896,0.604107822564663,0.784325930557145,0.397793853220453,134.666666666667,0.0117830211210926,0.0182608319980722,0.0157688765799228,0.0612119459456634,0.0136291569927612,0.0457466916140031,0.0606840266410482,0.0581817757375019,0.0293539776254435,11.8462370959446,3,0.00680293041612987,0.0105428962697135,0.00910416513823644,0.0353407334693496,0.00786879745859837,0.0264118647178795,0.0350359391167196,0.0335912638839771,0.0169475268838361,6.83942817622773,0.935929740071107,0.994471034321621,0.654989553670826,0.745714396499523,0.225676351127067,0.304020473095313,0.652329822507957,0.956447629174448,0.627514630468249,0.695228036198417,0.395026019284739,0.622308182937054,0.453360343484773,0.754855301644553,0.639794387311016,0.928857473803274,0.324874530411214,0.470713176029693,105.238982354295,164.094350979038
