"","sp_richn","fdis","fmpd","fnnd","feve","fric","fdiv","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4","fred","raoQ","simpson","time"
"-7",123,0.527159401412642,0.56573251327664,0.395475226837769,0.653486,0.455583814064289,0.79131563094932,0.347828799596681,0.449965527905067,-0.0353911079245076,-0.0722535687936061,0.0272244861072159,0.0122783905779104,0.306928047321351,0.676271351467292,0.983199398788643,"-7"
"-6",123,0.528690422102486,0.566461358732751,0.395632727569146,0.653326,0.455583814064289,0.792163639727035,0.348143281429107,0.45108299942979,-0.0365129700732935,-0.0722486287055629,0.0267317358490248,0.0115973727268673,0.306302887361579,0.676939288367005,0.983242175728585,"-6"
"-5",123,0.523057087789499,0.561821033069964,0.393821095036771,0.659712,0.453090340760547,0.788674718840007,0.344175240263161,0.443170754181208,-0.0465273247986635,-0.061419279544347,0.0209369157591451,0.0192414790086984,0.311884331401852,0.671965106626303,0.983849438028156,"-5"
"-4",121,0.523144100253738,0.559688762117461,0.404959123430991,0.647635,0.445987527963445,0.788545738508439,0.351239037165865,0.441240476829981,-0.042875978055862,-0.0606968776220044,0.0306422584976147,0.0127821198715655,0.31084901721452,0.673903179017649,0.984752196232169,"-4"
"-3",122,0.522763525885685,0.561236115789074,0.424597046745591,0.638019,0.449750448148031,0.789801521355864,0.374002764259198,0.45036072818755,-0.0375647165354442,-0.0738731866055509,0.0464229509603494,0.00498786147299941,0.307208123042478,0.675115047343071,0.982323170385549,"-3"
"-2",122,0.521478023039923,0.561174679679945,0.427283171839614,0.641138,0.449750448148031,0.791788612759029,0.378126030702217,0.450432635428342,-0.0319637050027977,-0.075700466296959,0.0480960793623967,0.00309655230688548,0.306497274735813,0.675133085253915,0.981630359989728,"-2"
"-1",118,0.543771596565557,0.574606433161845,0.432942337591417,0.658927,0.448572166427597,0.813384179160897,0.370027417838831,0.460624390089846,-0.0245560727400441,-0.0621668931033217,0.0446819972723477,0.00465360981291107,0.301565701885473,0.685157760935405,0.986723462820879,"-1"
"0",121,0.563300069593807,0.585676221479304,0.401711264599644,0.622002,0.512270892128371,0.825352711973238,0.353474574678465,0.472329290141595,-0.0412536808455954,-0.0563853379786802,0.0394736907035358,0.00836353248733864,0.294299949686389,0.690649819660492,0.984949769346881,"0"
"1",118,0.558254752708028,0.583227651229435,0.398805581032292,0.639778,0.512270892128371,0.814570342230445,0.349248275414791,0.474254763245506,-0.0420022946278639,-0.0707121574629312,0.0438432211357565,0.00181626909968648,0.295144676772241,0.689066103700458,0.984210780472699,"1"
"2",114,0.551048005588012,0.577538471563469,0.384884452078354,0.649182,0.492252464719984,0.804620655561575,0.331862593397535,0.466007775403354,-0.057593693710167,-0.06253136723165,0.0428280083026918,0.00958781164062478,0.301254335349638,0.680844492814847,0.982098828164485,"2"
"3",104,0.49158348285844,0.545469351164392,0.429422743249363,0.679684,0.471545249499836,0.775047024829552,0.358060206353513,0.424405775922144,0.000899155182165542,-0.0713599340492424,0.0405743913722218,-0.00344376924366394,0.324096270235667,0.659713839657132,0.983810109892799,"3"
"4",110,0.506652641037064,0.558646144823436,0.425623482893563,0.708367,0.533591907318843,0.763048473387298,0.349101622692648,0.435450322533566,0.000547736374506721,-0.0692625704466864,0.025538294104296,0.0170462749961688,0.313902841165169,0.67125159485835,0.985154436023518,"4"
"5",112,0.500063223492626,0.555157528382342,0.422369521081632,0.716922,0.533761893743106,0.760672038972287,0.344230031053518,0.433461805849511,-0.000674455571957245,-0.0748567183725438,0.0125219747311375,0.0168410197226727,0.314409285960232,0.670290454216521,0.984699740176753,"5"
"6",109,0.523302709087356,0.567665274735026,0.435700448672999,0.743148,0.533545382330078,0.767552733375016,0.347295335654994,0.450196597833912,-0.00947326770604265,-0.0685670724829643,0.0321864389975423,0.0176480105933334,0.305237918995607,0.681372907735511,0.986610826731118,"6"
"7",106,0.523335646519467,0.569094100296176,0.447478503144921,0.745809,0.530877472938087,0.767228422977643,0.355869027865381,0.449994016288495,-0.0118048596826495,-0.0665628283741716,0.0379826324519117,0.0160525808640305,0.300661053262758,0.685352913409327,0.986013966672085,"7"
"8",105,0.527263370212675,0.572088080913538,0.447411133318031,0.739898,0.530472921244456,0.772473766199718,0.354326049723186,0.451087241913582,-0.00923202478656658,-0.0612454201386726,0.0425457116421086,0.0134159599851613,0.300765912115725,0.684691732896181,0.985457645011906,"8"
"9",103,0.534241262590611,0.577569542574665,0.446364211381556,0.746455,0.530472921244456,0.777114849630963,0.352463637278129,0.456477655599757,-0.0105303260846507,-0.0594550560707212,0.0438581896007647,0.0117855581028905,0.298401687805738,0.6865253222722,0.984927010077938,"9"
"10",104,0.530482896110111,0.57443005129892,0.443557820971561,0.743136,0.530472921244456,0.774674237363686,0.351983203310527,0.453594963729874,-0.00972038621094631,-0.0603665714475498,0.042638803121681,0.0126085304262008,0.299157497231307,0.686043869446852,0.985201366678159,"10"
"11",101,0.528893976909738,0.574013249058973,0.442444590604271,0.750306,0.521181482345946,0.76568312863295,0.356317526060054,0.454853258691453,-0.0157903735727628,-0.0678900880343827,0.0453526622580242,0.00459188828203399,0.299128146799343,0.685723257254102,0.984851404053445,"11"
"12",100,0.529635959897576,0.575406688992863,0.443386119527484,0.755426,0.521181482345946,0.764748621448329,0.357035105311561,0.454975727011957,-0.0157829279851146,-0.0662823259136961,0.0458712018998476,0.00367526949209402,0.298763977162827,0.685995482412361,0.984759459575188,"12"
"13",96,0.52801876876285,0.574381372969736,0.443847720050574,0.747453,0.50476219376971,0.766704530763542,0.358481365591448,0.453778141743179,-0.0141649967445233,-0.0662005371457047,0.0437010563049697,0.00184186478844031,0.298652669525795,0.685530041155622,0.984182710681417,"13"
"14",99,0.478070156753946,0.551509849363021,0.431950558835614,0.728671,0.508664677959803,0.720813538824299,0.361104955253137,0.428686704075137,-0.0248423526334164,-0.0887189708178321,0.022953889458314,0.000253367506017845,0.307576161162512,0.656782370074551,0.964358531237063,"14"
"15",118,0.492208737919018,0.554033932548794,0.452229183680633,0.718434,0.525004279892349,0.74204578239416,0.364428053558807,0.421737932433148,-0.0367306527908232,-0.0526585094008365,-0.00552426980889605,-0.00443072060855616,0.309799138465509,0.664510833037905,0.974309971503414,"15"
"16",132,0.52918283380955,0.590560751822597,0.449613449409473,0.709143,0.63648393551846,0.725891088851628,0.387896829390606,0.449570185198628,-0.00826411766234914,-0.047696567791576,-0.0238580195742864,-0.0110484233652849,0.295226950006949,0.682475607911271,0.977702557918219,"16"
"17",127,0.551093237843263,0.602362373062373,0.471662733833693,0.71809,0.63648393551846,0.75425945672315,0.389007644371951,0.460860464705133,-0.00811139589088531,-0.0276706677951547,-0.025658676887823,-0.0112481431315525,0.294774261319724,0.688876619298056,0.98365088061778,"17"
"18",132,0.57015636303025,0.614947944529935,0.471455137634609,0.732317,0.667194852397698,0.768088969809826,0.39157149259533,0.473172249964927,-0.00288223654572097,-0.00641559190862729,-0.0219299167525686,-0.0135877993349281,0.288857290595649,0.696105521578555,0.984962812174204,"18"
